sample-index,text
sample-009483,because he was terrified the boy didn't answer
sample-009484,rest well tonight as if you were a warrior preparing for combat
sample-009485,i noticed that the boy answered
sample-009486,what are they doing the old man asked pointing at the people in the plaza
sample-009487,the proposed approach provides stateoftheart results at very low computational cost
sample-009488,revenge is not my style but obviously accidents will happen
sample-009489,i had that right here
sample-009490,now where was that hat
sample-009491,he thought of all the married shepherds he had known
sample-009492,it's extremely suspicious that there's no information about brains that didn't come from a brain
sample-009493,tangier is not like the rest of africa
sample-009494,the world speaks many languages the boy thought
sample-009495,bakers have homes while shepherds sleep out in the open
sample-009496,the camel driver though seemed not to be very concerned with the threat of war
sample-009497,what would you do with a gun in your back
sample-009498,without responding the guard entered the tent where he remained for some time
sample-009499,as they began to decorate the hallway a silhouette appeared in the doorway
sample-009500,i'd like to build a display case for the crystal the boy said to the merchant
sample-009501,and now it was only four days before he would be back in that same village
sample-009502,i've always wanted to do this
sample-009503,the boy mumbled an answer that allowed him to avoid responding to her question
sample-009504,and when they do i get mad
sample-009505,it almost gives him a feeling he wasn't wanted
sample-009506,it's a dream in the language of the world she said
sample-009507,it's all right if you want to smoke your cigar now
sample-009508,he was going to miss the place and all the good things he had learned
sample-009509,and the sand and gravel had been flung violently in every direction
sample-009510,when i had my sheep i was happy and i made those around me happy
sample-009511,they're not concerned with that right now
sample-009512,i remember how i sat on the table there in the blackness with patches of green and crimson swimming before my eyes
sample-009513,they shouted consolation and promises and went off back to the town again to get help
sample-009514,men dream more about coming home than about leaving the boy said
sample-009515,want to give my flower a drink
sample-009516,don't they usually keep the gun on the floor
sample-009517,he placed the dvd into the player
sample-009518,the woman said she had never heard of such a person and hurried away
sample-009519,he had not a cent in his pocket but he had faith
sample-009520,i found a little crowd of about twenty people surrounding the huge hole
sample-009521,now i'm beginning what i could have started ten years ago
sample-009522,what did you do with her
sample-009523,is she running a temperature
sample-009524,hundreds of observers saw the flame that night and the night after
sample-009525,excuse you for what
sample-009526,everything i say is right
sample-009528,i finally have enough money and all the time i need
sample-009529,he has other things to do first
sample-009530,melchizedek watched a small ship that was plowing its way out of the port
sample-009531,i've got to see him
sample-009532,i was impatient to see it opened
sample-009534,it seemed such a little thing so bright and small and still
sample-009535,you already know all you need to know
sample-009536,now give us sixty days on this
sample-009537,it's the oasis said the camel driver
sample-009538,it was as if it quivered but really this was the telescope vibrating
sample-009539,the fire burned the fox
sample-009548,they made the boy continue digging but he found nothing
sample-009549,it was dropping off in flakes and raining down on the sand
sample-009558,before this i always looked to the desert with longing said fatima
sample-009559,there must be somebody there
sample-009560,everyone has an opinion about jesus christ
sample-009561,the boy smiled and continued digging
sample-009562,the hand that evokes love and creates a twin soul for every person in the world
sample-009563,i don't know why
sample-009564,when i'm eating that's all i think about
sample-009565,a semitransparent overlay promoted the beta version of an android app
sample-009566,he knew what i was thinking the boy said to himself
sample-009567,it reminded him of the wool from his sheep
sample-009570,because the crystal was dirty
sample-009571,and continue to pay heed to the omens
sample-009572,the fine manufacturing company was a bookkeeper for fourteen years
sample-009573,he was selling better than ever
sample-009574,remember what happened to lisa
sample-009575,one can imagine these two covered with sand running up the little street in the bright sunlight
sample-009576,and then he perceived it very slowly
sample-009577,the streamer of gas came out towards us
sample-009588,before the sun had reached its high point five hundred tribesmen appeared on the horizon
sample-009589,did she discuss it with you
sample-009598,i'm not good enough to make this one up
sample-009599,judge debra sent me
sample-009600,it was such a gradual movement that he found it only by noticing the dots
sample-009601,the computer artist waited for the latest image to render
sample-009602,he suddenly felt tremendously happy
sample-009603,it was no more exciting than an overturned carriage or a tree blown across the road
sample-009604,but as time passed tangier had changed
sample-009605,there was a murmur from the crowd
sample-009606,it's not a battle of good against evil
sample-009607,to nourish the falcon
sample-009610,i think they're going to last for a long time he said to the monk
sample-009611,his life and his path had always provided him with enough omens
sample-009612,whatever the thing observed one could find a connection with his experience of the moment
sample-009613,from the railway station in the distance came the sound of trains ringing and rumbling
sample-009614,so it's better to listen to what it has to say
sample-009615,hundreds of observers saw the flame that night and the night after
sample-009616,then came a war
sample-009617,the newspaper articles had prepared everyone for the reception of the idea
sample-009628,only one way you can help me
sample-009629,fifty cents on the dollar
sample-009638,this is as far as the elevator goes
sample-009639,but i'm going in search of my treasure the boy said
sample-009640,i know he wrote them on account of the misspellings
sample-009641,a thin circle of bright metal showed between the top and the body of the cylinder
sample-009642,then suddenly he noticed it with a start
sample-009643,but the englishman appeared not to attach any importance to it
sample-009644,i used to look at those women and envy them their happiness
sample-009645,i'm going to them
sample-009646,you can't believe it's not butter
sample-009647,i want to stay at the oasis the boy answered
sample-009648,should i understand the emerald tablet the boy asked
sample-009649,stuffed tomatoes with rice in the oven is a traditional greek dish
sample-009650,it was a very warm october
sample-009651,and he gave the boy his blessing
sample-009652,the alchemist dismounted and told the escorts they could return to the camp
sample-009653,since the miner had sacrificed everything to his destiny the old man decided to become involved
sample-009654,that's what i mean
sample-009655,that was a little girl named mary hatch
sample-009656,i'm going to hate those who have found their treasure because i never found mine
sample-009657,the girl dropped the container and the water spilled
sample-009658,now you got me
sample-009659,the desert didn't answer him for a few moments
sample-009660,many telescopes were pointed at it
sample-009661,all that time the martians must have been getting ready
sample-009662,men have never understood the words of the wise
sample-009663,he suddenly felt tremendously happy
sample-009664,have you seen him
sample-009665,you're looking for witch doctors he spoke some verses from the koran and moved on
sample-009666,what's the difference between hibernation and standby mode
sample-009667,formatting of tables should be improved
sample-009668,and the sand and gravel had been flung violently in every direction
sample-009669,get me walter burns
sample-009670,but there was something there in his heart that wouldn't allow him to do so
sample-009671,the time must have been somewhere around six o'clock
sample-009672,he took the fourth part and handed it to the monk
sample-009673,they were fascinating stories each of them lived out his destiny to the end
sample-009674,it was bunched up and he had hardly thought of it for a long time
sample-009675,the top had certainly ceased to rotate
sample-009676,the other son was a poet and delighted all of rome with his beautiful verses
sample-009677,janet roger died three months ago
sample-009678,he needs three days answered the alchemist
sample-009679,but they really don't know what they're saying
sample-009680,it's like the flight of those two hawks it can't be understood by reason alone
sample-009681,putting a pool under this floor was a great idea
sample-009682,the omens had been true after all
sample-009683,he's already killed three men
sample-009684,i wonder what molly put in those tacos
sample-009685,i just want to dream about mecca
sample-009686,what good is money to you if you're going to die
sample-009687,never advertise razors by shaving a monkey it's cruel and results in lawsuits
sample-009688,i'm trying to explain to my mother how to get pictures off her phone
sample-009689,the two walked out among the palms
sample-009690,any time but christmas
sample-009691,that doesn't happen to just anyone
sample-009692,he took urim and thummim from his pocket and began playing with them
sample-009693,but you are in the desert
sample-009694,somewhere you are holding the person i love the boy said
sample-009695,now i too will be one of the women who wait
sample-009696,isn't it all too wonderful
sample-009697,sadly my dream of becoming a squirrel whisperer may never happen
sample-009698,i forgot you were here
sample-009699,he remembered what the old man had said about offering something you didn't even have yet
sample-009700,advancing slowly they searched among the stones
sample-009701,it looked like a rusty gas float
sample-009702,the closer he got to the realization of his dream the more difficult things became
sample-009703,these are the spies said one of the men
sample-009704,whatever the thing observed one could find a connection with his experience of the moment
sample-009705,he remembered what the old man had said about offering something you didn't even have yet
sample-009706,reality was permanently scarred from those force field experiments
sample-009707,and then the boy understood
sample-009708,an alchemist said the alchemist
sample-009709,he lives at the alfayoum oasis his friend had said
sample-009710,he was my brother
sample-009711,and you know it as well as i do
sample-009712,he made us stand and watch him paint for like an hour
sample-009713,the men were smoking their hookahs and trading stories from the battlefield
sample-009714,the servers of the common voice project couldn't handle the heavy load
sample-009715,suddenly one of the hawks made a flashing dive through the sky attacking the other
sample-009716,he should have decided to become a shepherd the boy said
sample-009717,the men fell into an animated discussion
sample-009718,no baselines or comparison to state of the art is provided
sample-009719,ill join you in a minute after i lock my bike
sample-009720,replace the ts in tim tebow's name with any other consonant to get a star wars character
sample-009721,i can't very well leave without a pair of water wings
sample-009722,the sun was setting when the boy's heart sounded a danger signal
sample-009723,but before i go i want to tell you a little story
sample-009724,i am in search of that universal language among other things
sample-009725,you said it to me too
sample-009726,greece is the country where democracy was invented
sample-009727,i went stretching my legs clumsily and feeling my way in the dark
sample-009728,to show you one of life's simple lessons the alchemist answered
sample-009729,i would have won the junior olympics if not for those medaling kids
sample-009730,i'm getting trevor ready
sample-009731,maybe that's why they give up on it so early too
sample-009732,at least she knows how to behave at funerals
sample-009733,he dressed in his arabian clothing of white linen bought especially for this day
sample-009734,it was only when i got this close to it that the strangeness of it was at all evident to me
sample-009735,go back to watching the caravan he said
sample-009736,the conversation was interrupted by the warehouse boss
sample-009737,others stumbled upon the stone by accident
sample-009738,some do come back
sample-009739,the weights in w can be negative
sample-009748,and he decided he would go to see the chiefs of the tribes
sample-009749,i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing
sample-009758,the old man gave a signal and everyone stood
sample-009759,ask the owner of that stall how much the sword costs he said to his friend
sample-009760,i shall make us some ice cubes
sample-009761,i learned how to care for sheep and i haven't forgotten how that's done
sample-009762,we like to think all our cases are important
sample-009763,the shepherd said nothing
sample-009764,they shouted consolation and promises and went off back to the town again to get help
sample-009765,ten minutes for what
sample-009766,one can imagine these two covered with sand running up the little street in the bright sunlight
sample-009767,trust in your heart but never forget that you're in the desert
sample-009770,thousands of workers commute from the surroundings into the city each day
sample-009771,the incantation was written in italics
sample-009772,the men climbed the hill and they were tired when they reached the top
sample-009773,the secret is here in the present
sample-009774,or do you think it would spoil him
sample-009775,they eat lunch together often but dont really talk outside the office
sample-009776,give me that call on patrick's wire
sample-009777,henderson stood up with a spade in his hand
sample-009788,what do i do in salem the old man laughed
sample-009789,in those days very few of the people had any idea about astronomy
sample-009798,there was a moment of silence so profound that it seemed the city was asleep
sample-009799,i was scared but wasted no time in going out and crossing the bridge to the sand pits
sample-009808,your husband must have been in a great hurry
sample-009809,it reminded him of the wool from his sheep
sample-009818,it brought his heart into his mouth
sample-009819,the time must have been somewhere around six o'clock
sample-009820,i'm just a fool
sample-009821,it was faintly marked with transverse stripes and slightly flattened from the perfect round
sample-009822,it's just exactly what i wanted
sample-009823,where your treasure is there also will be your heart the alchemist had told him
sample-009824,i don't understand what you're talking about the desert said
sample-009825,mostly just the hearts of those who are trying to realize their destinies
sample-009826,are children more creative than adults
sample-009827,i thought about the difficulties in translation that might arise
sample-009830,my mind ran on the possibilities of its content
sample-009831,then he dropped his spade picked up his jacket and came out into the road
sample-009832,it sounded like a gypsy prayer
sample-009833,he says it's the chance of a lifetime
sample-009834,down below in the darkness were hundreds of people sleeping in peace
sample-009835,but use them to buy your flock
sample-009836,they began to ride out over the sands with the moon lighting their way
sample-009837,then came the night of the first falling star
sample-009840,i remember how i sat on the table there in the blackness with patches of green and crimson swimming before my eyes
sample-009841,well then we've got a problem
sample-009842,i'm not afraid to die
sample-009843,their horses cried out and all their weapons were filled with sand
sample-009844,the young arab took out a book and began to read
sample-009845,the turf and gravel around it seemed charred as if by a sudden explosion
sample-009846,she went over to mr jared's house
sample-009847,will you come here
sample-009848,so he asked if the old man's blessing was still with him
sample-009849,i hope it doesn't plunge jillian into bankruptcy
sample-009850,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war
sample-009851,you been in a fight
sample-009852,thirty every thursday sixty at sixty who knows what
sample-009853,did you finish the interview
sample-009854,he heard a muffled grating sound and saw the black mark jerk forward an inch or so
sample-009855,wish i had a million dollars
sample-009856,he heard a muffled grating sound and saw the black mark jerk forward an inch or so
sample-009857,he did find it soon after dawn and not far from the sand pits
sample-009858,go out and find her
sample-009859,they ate in silence
sample-009860,the new law was retroactive
sample-009861,the desert didn't answer him for a few moments
sample-009862,you're a smart young woman
sample-009863,why can't she get along with me
sample-009864,some of the grey ash was falling off the circular edge
sample-009865,don't say those things
sample-009866,it drew a droplet of blood
sample-009867,that's never happened to me the boy said
sample-009868,but then he stopped
sample-009869,we're just travelers the alchemist answered
sample-009870,he wasn't an alchemist
sample-009871,this morning i found a calculator taped to my wii
sample-009872,why the shots stopped after the tenth no one on earth has tried to explain
sample-009873,the shepherd swore that he would
sample-009874,i didn't say anything
sample-009875,it would have been visible to me had i only looked up as it passed
sample-009876,i hope it works
sample-009877,this kettle is quicker at boiling water than the old one
sample-009878,what about higgins against becca
sample-009879,that's true enough the boy thought ruefully
sample-009880,then i take it there are no objections
sample-009881,i heard a peculiar humming sound from the pit
sample-009882,replace the ts in tim tebow's name with any other consonant to get a star wars character
sample-009883,but he takes advantage of you
sample-009884,mostly just the hearts of those who are trying to realize their destinies
sample-009885,the only shadow was that of the few scattered pine trees
sample-009886,of course the two were unable to do anything
sample-009887,i can clean up those glasses in the window if you want said the boy
sample-009888,his father said no more
sample-009889,you should see the other guy specifically how good at fighting he is
sample-009890,you jump i jump
sample-009891,its lower end was still embedded
sample-009892,the woman was silent for some time
sample-009893,there's a moon out tonight
sample-009894,no doubt the impact had caused a flash of fire
sample-009895,but as he saw them lying there on the ground another phrase came to his mind
sample-009896,it could have been steel silver or platinum
sample-009897,there was no respite to be had
sample-009898,do you know someone here who cures people's illnesses the boy asked
sample-009899,we always observe the tradition
sample-009900,suddenly a huge quantity of green smoke came out of the pit in three puffs and went straight into the still air
sample-009901,she wants to talk to uncle francis
sample-009902,since the miner had sacrificed everything to his destiny the old man decided to become involved
sample-009903,tell your heart that the fear of suffering is worse than the suffering itself
sample-009904,the boy felt a pang in his heart thinking about the merchant's daughter
sample-009905,so now i'm a camel driver
sample-009906,the englishman could not contain his excitement
sample-009907,there was a murmur from the crowd
sample-009908,then the two went off to have some more tea
sample-009909,you used to be able to pitch better than that
sample-009910,they shouted consolation and promises and went off back to the town again to get help
sample-009911,in general people have difficulties estimating risks correctly
sample-009912,you've resented me from the first moment you saw me
sample-009913,camels are traitorous they walk thousands of paces and never seem to tire
sample-009914,i thought that everything i owned would be destroyed
sample-009915,so what do you want of me the sun asked
sample-009916,from the railway station in the distance came the sound of trains ringing and rumbling
sample-009917,paracetamol should get rid of that pain
sample-009918,i'm going to them
sample-009919,i thought about the difficulties in translation that might arise
sample-009920,he doesn't have anything else
sample-009921,ask the owner of that stall how much the sword costs he said to his friend
sample-009922,where'd you get it
sample-009923,i think they perceived that nothing was to be done at the moment
sample-009924,henderson went into the railway station to telegraph the news to london
sample-009925,the stranger seemed satisfied with the answer
sample-009926,every image processing software contains automatic contrast and color enhancement
sample-009927,the boy remembered an old proverb from his country
sample-009928,he took his money from his pouch and showed it to the young man
sample-009929,sadly my dream of becoming a squirrel whisperer may never happen
sample-009930,when i returned to the common the sun was setting
sample-009931,we must be good
sample-009932,no more tickets left
sample-009933,later we simply let life proceed in its own direction toward its own fate
sample-009934,like everybody learns he said
sample-009935,i have the diet of a kid who found twenty dollars
sample-009936,who's this gal she's gonna marry
sample-009937,there was a time when for me a camel's whinnying was nothing more than whinnying
sample-009938,now i can see that it hasn't been too bad
sample-009939,do you care if i sit down out here
sample-009940,the old man opened his cape and the boy was struck by what he saw
sample-009941,paper cups are bad for the environment if you throw them in the garbage
sample-009942,he's home cooking dinner
sample-009943,how long would the interview take
sample-009944,she hoisted up the pirate flag
sample-009945,it spread through the planet's atmosphere and obscured its more familiar features
sample-009946,the pink love heart keyring glowed
sample-009947,it had told him to dig where his tears fell
sample-009950,well why don't we go there right now the boy asked
sample-009951,they're on their way
sample-009952,we're coming to a new order of things
sample-009953,he called to the boy and they took a walk along the dunes surrounding the encampment
sample-009954,it's a man who understands nature and the world
sample-009955,the fact that the two hours had stretched into an entire year didn't matter
sample-009956,could you provide an example of a realistic scenario
sample-009957,scattered groups of people were hurrying from the direction of woking
sample-009968,do you see this
sample-009969,you are almost at the end of your journey said the alchemist
sample-009978,march was windy and dark
sample-009979,they're just a pile of stones
sample-009980,then she took both of his hands in hers and began quietly to pray
sample-009981,from then on he would make his own decisions
sample-009982,i have been wanting to go and waiting for him to go with me
sample-009983,don't say anything fatima interrupted
sample-009984,it was difficult not to think about what he had left behind
sample-009985,the morning post just turned shelly eric over to the sheriff
sample-009986,but you are in the desert
sample-009987,i forgot to thank you for those roses
sample-009990,then suddenly he noticed it with a start
sample-009991,he moved about invisible but everyone could hear him
sample-009992,let me tell you what will happen
sample-009993,his hands were abraded and exhausted but he listened to his heart
sample-009994,there was enough there to buy a lot of weapons
sample-009995,she looks kind of bored
sample-009996,but i didn't kill anybody
sample-009997,make room for mrs chelsea
sample-010008,turkey for thanksgiving
sample-010009,what day is it
sample-010018,laura took out a cigarette and placed it in her mouth
sample-010019,my wife pointed out to me the brightness of the red green and yellow signal lights
sample-010020,you point to a trail of ants leading into the house
sample-010021,what is love the desert asked
sample-010022,we're going to take her over to my private office
sample-010023,the newspaper articles had prepared everyone for the reception of the idea
sample-010024,the man you had the fight with
sample-010025,a missing parrot is called a polygon
sample-010026,did you find it
sample-010027,i thought the unscrewing might be automatic
sample-010030,i don't know why
sample-010031,it's crawling with cops outside
sample-010032,take hold of the cover
sample-010033,but where are the houses
sample-010034,he fell asleep and when he awoke the sun was already high
sample-010035,an huge hole had been made by the impact of the projectile
sample-010036,give me my book the boy said
sample-010037,he's mr big and mr small
sample-010040,don't say that again
sample-010041,i'm an old superstitious arab and i believe in our proverbs
sample-010042,but he still couldn't flee
sample-010043,the boy went to look for the englishman
sample-010044,can i get a woot woot
sample-010045,i get more of a kick out of it that way
sample-010046,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him
sample-010047,but only speak a word and my servant will be healed
sample-010048,the boy remembered an old proverb from his country
sample-010049,but i found it difficult to get to work because of the investigations
sample-010050,i want to tell you a story about dreams said the alchemist
sample-010051,the model has effectively three fully connected layers
sample-010052,everything you need to know you have learned through your journey
sample-010053,i heard what you were talking about the other day with the alchemist the wind said
sample-010054,show me the movie times in dipson theatres
sample-010055,by the light of their own destruction i saw them staggering and falling and their supporters turning to run
sample-010056,i locked eyes with a fish in the tank
sample-010057,can you imagine that
sample-010058,and i'm going to insist on his being produced for questioning
sample-010059,the snake fought frantically making hissing sounds that shattered the silence of the desert
sample-010060,smoking is prohibited
sample-010061,the wind told me that you know about love the boy said to the sun
sample-010063,there are powerful forces on both sides and the war is important to both armies
sample-010064,it's not i the wind spoke about
sample-010065,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war
sample-010066,worked hard just to have food and water like the sheep
sample-010067,crooks don't pay taxes
sample-010068,it's what you have always wanted to accomplish
sample-010069,they don't see that the fields are new and the seasons change
sample-010070,i've crossed these sands many times said one of the camel drivers one night
sample-010071,i was impatient to see it opened
sample-010072,not what you'd call rich
sample-010073,it may be the gases of the firing that caused the martians inconvenience
sample-010074,we're just travelers the alchemist answered
sample-010075,they'll be here any minute
sample-010077,he left without saying goodbye to the crystal merchant
sample-010078,he thought of the merchant's daughter and was sure that she had probably married
sample-010079,looking through the telescope i saw a circle of deep blue and the little round planet
sample-010080,but he had to move on
sample-010081,would you do anything like that
sample-010082,it's up to you
sample-010083,how much do you make a week
sample-010084,my teacher always throws chalk at his pupils that's why i'm wearing a helmet
sample-010085,i don't know why i came here in the first place
sample-010086,i've got the party here
sample-010087,speak to the hand that wrote all said the sun
sample-010088,he regretted having spoken to the camel driver about what he had seen in the desert
sample-010090,is there no sense of honor left in this country
sample-010091,history teaches us that humans do not learn from history
sample-010092,people said that gypsies spent their lives tricking others
sample-010093,the boy went to his room and packed his belongings
sample-010094,every file had the letter a printed on the front
sample-010095,gotta be gentle to suit me
sample-010096,some of those who saw its flight say it travelled with a hissing sound
sample-010097,they returned to the gates of the monastery
sample-010098,two years ago right here on this spot i had a recurrent dream too
sample-010099,am i going to find my treasure he asked
sample-010100,and here's a kiss for you
sample-010101,several figures approached him
sample-010102,don't tell me you were worried
sample-010103,in those days very few of the people had any idea about astronomy
sample-010104,what is it that i still need to know the boy asked
sample-010105,when i returned to the common the sun was setting
sample-010106,and one or two persons were returning
sample-010107,the oasis is neutral ground
sample-010108,as soon as he saw me among the crowd he called to me to come down
sample-010109,the old man was probably a gypsy too
sample-010110,henderson was taking it in
sample-010111,be careful with your prognostications said the stranger
sample-010112,and that's another thing
sample-010113,there isn't any more wine
sample-010114,we don't know what's in the confounded thing do you
sample-010115,the alchemist is two hundred years old the englishman had told him
sample-010116,our clothes are dry
sample-010117,what do you know about it
sample-010118,sadly my dream of becoming a squirrel whisperer may never happen
sample-010119,i don't want anything for myself
sample-010120,why can't you be serious
sample-010121,so now i'm a camel driver
sample-010122,that's what i was sent down for
sample-010123,can i at least keep the onion soup
sample-010124,get some water quickly
sample-010125,all that time the martians must have been getting ready
sample-010126,step right up here
sample-010127,some went away while i was there and other people came
sample-010128,will you put that thing away
sample-010129,because we're panicky and he's not
sample-010130,wait just a minute now
sample-010131,but where are the houses
sample-010132,people from all over the world have passed through this village son said his father
sample-010133,on the second day the boy climbed to the top of a cliff near the camp
sample-010134,the heat lasted until nightfall and all that time he had to carry his jacket
sample-010135,if something isn't done
sample-010136,we all agree on a peaceful solution
sample-010137,a thin circle of bright metal showed between the top and the body of the cylinder
sample-010138,being with him alone made her feel uncomfortable
sample-010139,there's no danger the boy said when they had moved on past the encampment
sample-010140,but he still couldn't flee
sample-010141,i thought the unscrewing might be automatic
sample-010142,even if you cleaned my crystal for an entire year
sample-010143,we were all made by the same hand and we have the same soul
sample-010144,the first rule of don't fight club is let's talk about it
sample-010145,and there were dunes rocks and plants that insisted on living where survival seemed impossible
sample-010146,a boy came running towards me
sample-010147,it was my fear of failure that first kept me from attempting the master work
sample-010150,we cannot forget that farce
sample-010151,strange images passed through my mind
sample-010152,mozzarella is a creamy cheese that goes well with tomato and basil
sample-010153,i feel grateful for the time that we have spend together
sample-010154,he got up early with the idea of finding it
sample-010155,heehaw and merry christmas
sample-010156,but try editing a file with several hundred lines and you'll find that this is pretty clunky
sample-010157,it was as if it quivered but really this was the telescope vibrating
sample-010168,if we serve tea in crystal the shop is going to expand
sample-010169,in those days very few of the people had any idea about astronomy
sample-010178,what idiot wrote this total drivel
sample-010179,well then why do we need all these books the boy asked
sample-010180,you bet i've got a better offer
sample-010181,you're the one who may die the alchemist said
sample-010182,sometimes their caravan met with another
sample-010183,i wasn't born yesterday
sample-010184,and at that i told him and he took my place
sample-010185,they shouted consolation and promises and went off back to the town again to get help
sample-010186,it's a direct line to both my office and my apartment
sample-010187,you're worth more dead than alive
sample-010190,this was the strangest of all things that ever came to earth from outer space
sample-010191,hitting the delete and escape keys did nothing
sample-010192,when the sun sets the men will once again surrender their arms to me
sample-010193,what is love the desert asked
sample-010194,because my eyes are not yet accustomed to the desert the boy said
sample-010195,you are almost at the end of your journey said the alchemist
sample-010196,all things are one the old man had said
sample-010197,business has really improved he said to the boy after the customer had left
sample-010208,if we serve tea in crystal the shop is going to expand
sample-010209,they crossed the desert for another two days in silence
sample-010218,you don't have to be rich skinny popular or even own a cape to perform a random act of kindness
sample-010219,it may be the gases of the firing that caused the martians inconvenience
sample-010220,our group played guitars while the others randomly hit resonant objects
sample-010221,it was the second or third time they'd tried
sample-010222,the suspension bridge was swinging in the gale
sample-010223,there were snickers from the background
sample-010224,that's a christmas present from a very dear friend of mine
sample-010225,i wished i had a light to smoke by
sample-010226,i'm an alchemist simply because i'm an alchemist he said as he prepared the meal
sample-010227,but everything had changed
sample-010230,makes about five thousand a year
sample-010231,what's the matter with you
sample-010232,it left a greenish streak that glowed for some seconds
sample-010233,but he's on the right track
sample-010234,that's what alchemists do
sample-010235,it doesn't matter he said to his sheep
sample-010236,but i never said anything like that
sample-010237,and above all don't forget to follow your destiny through to its conclusion
sample-010240,the airplane rose gracefully into the sky
sample-010241,and so do i
sample-010242,coming home a party of tourists passed us singing and playing music
sample-010243,i want to spend christmas in california with my family
sample-010244,how do you think i got here
sample-010245,do you need any help
sample-010246,of course the two were unable to do anything
sample-010247,let me formulate a response to that question
sample-010248,there's been an accident
sample-010249,this is a ludicrous situation
sample-010250,better get a pencil out and write it down
sample-010251,as the flag unfurled they all hollered like wild beasts
sample-010252,what'll it take till the bank reopens
sample-010253,just what is the lowdown on williams
sample-010254,from the railway station in the distance came the sound of trains ringing and rumbling
sample-010255,i was disappointed at this inanimate bulk
sample-010256,he saw the boy appear from the other side of the dunes
sample-010257,there was very little talking
sample-010258,i'll just watch him he said to himself
sample-010259,everyone has his or her own way of learning things he said to himself
sample-010260,a whole week in bermuda
sample-010261,from there he could see africa in the distance
sample-010262,he suggested that the boy look around the palace and return in two hours
sample-010263,the boy trusted his new friend
sample-010264,our merchants bought that man and brought him to egypt
sample-010265,the achieved results are far behind the stateoftheart in image classification
sample-010266,it's not my house
sample-010267,the boy was startled
sample-010268,a long note was sounded on a bugle and everyone mounted up
sample-010269,help my friend mr richard
sample-010270,you point to a trail of ants leading into the house
sample-010271,i needed immediate access
sample-010272,the horse reared again raising a cloud of dust
sample-010273,then suddenly he noticed it with a start
sample-010274,he had helped him out in a dangerous situation
sample-010275,in his heart he wanted to remain awake but he also wanted to sleep
sample-010276,a card hanging in the doorway announced that several languages were spoken in the shop
sample-010277,that's the magic of omens said the boy
sample-010278,the night was warm and i was thirsty
sample-010279,the alchemist knocked on the gate of the monastery
sample-010280,you already know about alchemy
sample-010281,when the blinding dust had settled a bit the boy trembled at what he saw
sample-010282,what is an alchemist he asked finally
sample-010283,the sun was turned into a golden disk
sample-010284,you'll have to wake him up
sample-010285,i'm not going very far the alchemist answered looking straight into the eyes of the horsemen
sample-010286,i found these one day in the fields
sample-010287,don't say those things
sample-010288,it left a greenish streak that glowed for some seconds
sample-010289,have you seen him yet
sample-010290,he stood irresolute for a moment and then scrambled out of the pit
sample-010291,did she discuss it with you
sample-010292,they called that discovery the master work  it was part liquid and part solid
sample-010293,then you'll die in the midst of trying to realize your destiny
sample-010294,it seemed to him that it fell to earth about one hundred miles east of here
sample-010295,let's stop this another commander said
sample-010296,you killed all three of them for nothing
sample-010297,where are we going to put him
sample-010298,it was such a gradual movement that he found it only by noticing the dots
sample-010299,i didn't do it
sample-010300,because he knew what he would find
sample-010301,some of those who saw its flight say it travelled with a hissing sound
sample-010302,this is the press room
sample-010303,hundreds of observers saw the flame that night and the night after
sample-010304,he regretted having spoken to the camel driver about what he had seen in the desert
sample-010305,he made us stand and watch him paint for like an hour
sample-010306,i had the everyone has gary busey's teeth dream again
sample-010307,he took out one of the stones
sample-010308,don't say that again
sample-010309,he knew what i was thinking the boy said to himself
sample-010310,what am i doing
sample-010311,something terribly important's happened
sample-010312,beat it out and get hold of some guys
sample-010313,the old man wore a breastplate of gold and he knew about my past
sample-010314,his hands began to tremble and the woman sensed it
sample-010315,the director has a crush on the actress i think
sample-010316,he told her about the morning's meeting
sample-010317,remember to take your full course of antibiotics stopping early is dangerous for your health
sample-010318,the simum blew that day as it had never blown before
sample-010319,what can i do now
sample-010320,hundreds must have seen it and taken it for a falling star
sample-010321,the shop folks were taking down their shutters and people were opening their bedroom windows
sample-010322,my wife pointed out to me the brightness of the red green and yellow signal lights
sample-010323,i don't know who anybody is any more
sample-010324,somewhere you are holding the person i love the boy said
sample-010325,do you mind if i sit down
sample-010326,it was a great relief
sample-010327,if good things are coming they will be a pleasant surprise said the seer
sample-010328,besides that there was a heap of bicycles
sample-010329,but the alchemist continued to look to the horizon
sample-010330,what's my name doing on it
sample-010331,we don't know what's in the confounded thing do you
sample-010332,please take a business card
sample-010333,my name is deborah
sample-010334,but that left me without any honest means of support
sample-010335,i just don't trust anyone who says they've never had hamburger helper
sample-010336,says for us to go the limit
sample-010337,i think you're crazy
sample-010338,ronnie watched in horror as the mirror transformed
sample-010339,as was mecca for the merchant
sample-010340,maybe we'd better ask someone the boy suggested
sample-010341,they continued across the desert
sample-010342,when he speaks in our language i can interpret what he has said
sample-010343,never ever have a boxing match with ali
sample-010344,then he dropped his spade picked up his jacket and came out into the road
sample-010345,the only shadow was that of the few scattered pine trees
sample-010346,he took urim and thummim from his pocket and began playing with them
